Volatility 3 Framework 2.7.0

Offset	Name	Size
0x3dc87bc0	\Program Files\VMware\VMware Tools\plugins\vmsvc\autoLogon.dll	216
0x3dc87d10	\Program Files\VMware\VMware Tools\plugins\vmsvc\deployPkgPlugin.dll	216
0x3dc8a070	\Program Files\VMware\VMware Tools\plugins\common\hgfsUsability.dll	216
0x3dc8a3a0	\$Directory	216
0x3dc8a4f0	\Program Files\VMware\VMware Tools\plugins\vmsvc\bitMapper.dll	216
0x3dc8a9f0	\Program Files\VMware\VMware Tools\plugins\common\vix.dll	216
0x3dc8af20	\Program Files\VMware\VMware Tools\hgfs.dll	216
0x3dc8b430	\Windows\System32\msxml6r.dll	216
0x3dc8b930	\Users\Analyst\Desktop\REMA-Tools\x64dbg\release\x32\platforms\qwindows.dll	216
0x3dc8bea0	\Windows\System32\msxml6.dll	216
0x3dc8c690	\Windows\System32\netcfgx.dll	216
0x3dc8c980	\Endpoint	216
0x3dc8d5a0	\Program Files\VMware\VMware Tools\guestStoreClient.dll	216
0x3dc8f860	\Windows\System32\nci.dll	216
0x3dc8fd00	\Windows\System32\en-US\KernelBase.dll.mui	216
0x3dc921a0	\Windows\System32	216
0x3dc92890	\Windows\System32\msdtc.exe	216
0x3dc92c00	\Windows\System32\winrnr.dll	216
0x3dc9cc70	\Windows\System32\dhcpcsvc6.dll	216
0x3dca0070	\Program Files\VMware\VMware Tools\plugins\common\hgfsServer.dll	216
0x3dca06e0	\Windows\System32\mpr.dll	216
0x3dca09e0	\Windows\System32\en-US\KernelBase.dll.mui	216
